"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 01 02:30:08 GMT 2024","Wed May 01 02:30:08 GMT 2024","187","","Links assertion on the home page","","","","validate, link contains Exit Intent Editor",""
"passed","Wed May 01 02:30:11 GMT 2024","Wed May 01 02:30:11 GMT 2024","190","","Links assertion on the home page","","","","validate, link contains Large & Deep DOM Editor",""
"passed","Wed May 01 02:30:13 GMT 2024","Wed May 01 02:30:13 GMT 2024","189","","Links assertion on the home page","","","","validate, link contains Shadow DOM Editor",""
"passed","Wed May 01 02:30:08 GMT 2024","Wed May 01 02:30:08 GMT 2024","190","","Links assertion on the home page","","","","validate, link contains File Upload Editor",""
"passed","Wed May 01 02:30:05 GMT 2024","Wed May 01 02:30:05 GMT 2024","207","","Links assertion on the home page","","","","validate, link contains Add/Remove Elements Editor",""
"passed","Wed May 01 02:30:12 GMT 2024","Wed May 01 02:30:12 GMT 2024","193","","Links assertion on the home page","","","","validate, link contains Redirect Link Editor",""
"passed","Wed May 01 02:30:11 GMT 2024","Wed May 01 02:30:11 GMT 2024","278","","Links assertion on the home page","","","","validate, link contains Nested Frames Editor",""
"passed","Wed May 01 02:30:09 GMT 2024","Wed May 01 02:30:09 GMT 2024","182","","Links assertion on the home page","","","","validate, link contains Horizontal Slider Editor",""
"passed","Wed May 01 02:30:10 GMT 2024","Wed May 01 02:30:10 GMT 2024","176","","Links assertion on the home page","","","","validate, link contains Inputs Editor",""
"passed","Wed May 01 02:30:11 GMT 2024","Wed May 01 02:30:11 GMT 2024","197","","Links assertion on the home page","","","","validate, link contains Multiple Windows Editor",""
"passed","Wed May 01 02:30:13 GMT 2024","Wed May 01 02:30:13 GMT 2024","197","","Links assertion on the home page","","","","validate, link contains Secure File Download Editor",""
"passed","Wed May 01 02:30:06 GMT 2024","Wed May 01 02:30:06 GMT 2024","185","","Links assertion on the home page","","","","validate, link contains Challenging DOM Editor",""
"passed","Wed May 01 02:30:06 GMT 2024","Wed May 01 02:30:06 GMT 2024","202","","Links assertion on the home page","","","","validate, link contains Digest Authentication Editor",""
"passed","Wed May 01 02:30:08 GMT 2024","Wed May 01 02:30:08 GMT 2024","180","","Links assertion on the home page","","","","validate, link contains Floating Menu Editor",""
"passed","Wed May 01 02:30:13 GMT 2024","Wed May 01 02:30:13 GMT 2024","180","","Links assertion on the home page","","","","validate, link contains Slow Resources Editor",""
"passed","Wed May 01 02:30:07 GMT 2024","Wed May 01 02:30:07 GMT 2024","183","","Links assertion on the home page","","","","validate, link contains Drag and Drop Editor",""
"passed","Wed May 01 02:30:12 GMT 2024","Wed May 01 02:30:12 GMT 2024","783","","Links assertion on the home page","","","","validate, link contains Notification Messages Editor",""
"passed","Wed May 01 02:30:10 GMT 2024","Wed May 01 02:30:11 GMT 2024","192","","Links assertion on the home page","","","","validate, link contains JavaScript onload event error Editor",""
"passed","Wed May 01 02:30:05 GMT 2024","Wed May 01 02:30:05 GMT 2024","188","","Links assertion on the home page","","","","validate, link contains Basic Auth Editor",""
"passed","Wed May 01 02:30:09 GMT 2024","Wed May 01 02:30:09 GMT 2024","178","","Links assertion on the home page","","","","validate, link contains Form Authentication Editor",""
"passed","Wed May 01 02:30:14 GMT 2024","Wed May 01 02:30:14 GMT 2024","220","","Links assertion on the home page","","","","validate, link contains Typos Editor",""
"passed","Wed May 01 02:30:02 GMT 2024","Wed May 01 02:30:02 GMT 2024","160","","API end point assertions","","","","fetch list of users",""
"passed","Wed May 01 02:30:13 GMT 2024","Wed May 01 02:30:13 GMT 2024","196","","Links assertion on the home page","","","","validate, link contains Shifting Content Editor",""
"passed","Wed May 01 02:30:08 GMT 2024","Wed May 01 02:30:08 GMT 2024","175","","Links assertion on the home page","","","","validate, link contains Entry Ad Editor",""
"passed","Wed May 01 02:30:10 GMT 2024","Wed May 01 02:30:10 GMT 2024","179","","Links assertion on the home page","","","","validate, link contains JavaScript Alerts Editor",""
"passed","Wed May 01 02:30:10 GMT 2024","Wed May 01 02:30:10 GMT 2024","191","","Links assertion on the home page","","","","validate, link contains Infinite Scroll Editor",""
"passed","Wed May 01 02:30:14 GMT 2024","Wed May 01 02:30:14 GMT 2024","201","","Links assertion on the home page","","","","validate, link contains Status Codes Editor",""
"passed","Wed May 01 02:30:07 GMT 2024","Wed May 01 02:30:07 GMT 2024","178","","Links assertion on the home page","","","","validate, link contains Dynamic Controls Editor",""
"passed","Wed May 01 02:30:07 GMT 2024","Wed May 01 02:30:07 GMT 2024","185","","Links assertion on the home page","","","","validate, link contains Dropdown Editor",""
"passed","Wed May 01 02:30:04 GMT 2024","Wed May 01 02:30:05 GMT 2024","1199","","Links assertion on the home page","","","","validate, link contains A/B Testing Editor",""
"passed","Wed May 01 02:30:06 GMT 2024","Wed May 01 02:30:06 GMT 2024","192","","Links assertion on the home page","","","","validate, link contains Checkboxes Editor",""
"passed","Wed May 01 02:30:06 GMT 2024","Wed May 01 02:30:06 GMT 2024","240","","Links assertion on the home page","","","","validate, link contains Context Menu Editor",""
"passed","Wed May 01 02:30:06 GMT 2024","Wed May 01 02:30:07 GMT 2024","185","","Links assertion on the home page","","","","validate, link contains Disappearing Elements Editor",""
"passed","Wed May 01 02:30:08 GMT 2024","Wed May 01 02:30:08 GMT 2024","177","","Links assertion on the home page","","","","validate, link contains File Download Editor",""
