"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","118","validate, link contains Dynamic Content Editor","","Sat Jan 11 02:50:31 GMT 2025","passed","Sat Jan 11 02:50:31 GMT 2025","","Links assertion on the home page","",""
"","115","validate, link contains Hovers Editor","","Sat Jan 11 02:50:32 GMT 2025","passed","Sat Jan 11 02:50:32 GMT 2025","","Links assertion on the home page","",""
"","155","validate, link contains Exit Intent Editor","","Sat Jan 11 02:50:31 GMT 2025","passed","Sat Jan 11 02:50:31 GMT 2025","","Links assertion on the home page","",""
"","133","fetch list of users","","Sat Jan 11 02:50:27 GMT 2025","passed","Sat Jan 11 02:50:27 GMT 2025","","API end point assertions","",""
"","120","validate, link contains Disappearing Elements Editor","","Sat Jan 11 02:50:30 GMT 2025","passed","Sat Jan 11 02:50:30 GMT 2025","","Links assertion on the home page","",""
"","114","validate, link contains Redirect Link Editor","","Sat Jan 11 02:50:34 GMT 2025","passed","Sat Jan 11 02:50:34 GMT 2025","","Links assertion on the home page","",""
"","116","validate, link contains Multiple Windows Editor","","Sat Jan 11 02:50:33 GMT 2025","passed","Sat Jan 11 02:50:33 GMT 2025","","Links assertion on the home page","",""
"","111","validate, link contains JavaScript onload event error Editor","","Sat Jan 11 02:50:33 GMT 2025","passed","Sat Jan 11 02:50:33 GMT 2025","","Links assertion on the home page","",""
"","116","validate, link contains Form Authentication Editor","","Sat Jan 11 02:50:32 GMT 2025","passed","Sat Jan 11 02:50:32 GMT 2025","","Links assertion on the home page","",""
"","118","validate, link contains Shifting Content Editor","","Sat Jan 11 02:50:34 GMT 2025","passed","Sat Jan 11 02:50:34 GMT 2025","","Links assertion on the home page","",""
"","121","validate, link contains Floating Menu Editor","","Sat Jan 11 02:50:32 GMT 2025","passed","Sat Jan 11 02:50:32 GMT 2025","","Links assertion on the home page","",""
"","509","validate, link contains A/B Testing Editor","","Sat Jan 11 02:50:29 GMT 2025","passed","Sat Jan 11 02:50:29 GMT 2025","","Links assertion on the home page","",""
"","120","validate, link contains Context Menu Editor","","Sat Jan 11 02:50:30 GMT 2025","passed","Sat Jan 11 02:50:30 GMT 2025","","Links assertion on the home page","",""
"","120","validate, link contains File Upload Editor","","Sat Jan 11 02:50:31 GMT 2025","passed","Sat Jan 11 02:50:32 GMT 2025","","Links assertion on the home page","",""
"","110","validate, link contains JavaScript Alerts Editor","","Sat Jan 11 02:50:33 GMT 2025","passed","Sat Jan 11 02:50:33 GMT 2025","","Links assertion on the home page","",""
"","124","validate, link contains Broken Images Editor","","Sat Jan 11 02:50:30 GMT 2025","passed","Sat Jan 11 02:50:30 GMT 2025","","Links assertion on the home page","",""
"","116","validate, link contains Checkboxes Editor","","Sat Jan 11 02:50:30 GMT 2025","passed","Sat Jan 11 02:50:30 GMT 2025","","Links assertion on the home page","",""
"","117","validate, link contains Nested Frames Editor","","Sat Jan 11 02:50:33 GMT 2025","passed","Sat Jan 11 02:50:34 GMT 2025","","Links assertion on the home page","",""
"","113","validate, link contains Dropdown Editor","","Sat Jan 11 02:50:31 GMT 2025","passed","Sat Jan 11 02:50:31 GMT 2025","","Links assertion on the home page","",""
"","113","validate, link contains Dynamic Controls Editor","","Sat Jan 11 02:50:31 GMT 2025","passed","Sat Jan 11 02:50:31 GMT 2025","","Links assertion on the home page","",""
"","117","validate, link contains Key Presses Editor","","Sat Jan 11 02:50:33 GMT 2025","passed","Sat Jan 11 02:50:33 GMT 2025","","Links assertion on the home page","",""
"","112","validate, link contains Status Codes Editor","","Sat Jan 11 02:50:35 GMT 2025","passed","Sat Jan 11 02:50:35 GMT 2025","","Links assertion on the home page","",""
"","120","validate, link contains Entry Ad Editor","","Sat Jan 11 02:50:31 GMT 2025","passed","Sat Jan 11 02:50:31 GMT 2025","","Links assertion on the home page","",""
"","109","validate, link contains WYSIWYG Editor Editor","","Sat Jan 11 02:50:35 GMT 2025","passed","Sat Jan 11 02:50:35 GMT 2025","","Links assertion on the home page","",""
"","119","validate, link contains Frames Editor","","Sat Jan 11 02:50:32 GMT 2025","passed","Sat Jan 11 02:50:32 GMT 2025","","Links assertion on the home page","",""
"","114","validate, link contains Large & Deep DOM Editor","","Sat Jan 11 02:50:33 GMT 2025","passed","Sat Jan 11 02:50:33 GMT 2025","","Links assertion on the home page","",""
"","116","validate, link contains Secure File Download Editor","","Sat Jan 11 02:50:34 GMT 2025","passed","Sat Jan 11 02:50:34 GMT 2025","","Links assertion on the home page","",""
"","121","validate, link contains Digest Authentication Editor","","Sat Jan 11 02:50:30 GMT 2025","passed","Sat Jan 11 02:50:30 GMT 2025","","Links assertion on the home page","",""
"","116","validate, link contains Horizontal Slider Editor","","Sat Jan 11 02:50:32 GMT 2025","passed","Sat Jan 11 02:50:32 GMT 2025","","Links assertion on the home page","",""
"","122","validate, link contains File Download Editor","","Sat Jan 11 02:50:31 GMT 2025","passed","Sat Jan 11 02:50:31 GMT 2025","","Links assertion on the home page","",""
"","112","validate, link contains Inputs Editor","","Sat Jan 11 02:50:33 GMT 2025","passed","Sat Jan 11 02:50:33 GMT 2025","","Links assertion on the home page","",""
"","164","validate, link contains Basic Auth Editor","","Sat Jan 11 02:50:29 GMT 2025","passed","Sat Jan 11 02:50:30 GMT 2025","","Links assertion on the home page","",""
"","117","validate, link contains Drag and Drop Editor","","Sat Jan 11 02:50:30 GMT 2025","passed","Sat Jan 11 02:50:31 GMT 2025","","Links assertion on the home page","",""
"","124","validate, link contains Challenging DOM Editor","","Sat Jan 11 02:50:30 GMT 2025","passed","Sat Jan 11 02:50:30 GMT 2025","","Links assertion on the home page","",""
"","192","validate, link contains Sortable Data Tables Editor","","Sat Jan 11 02:50:34 GMT 2025","passed","Sat Jan 11 02:50:35 GMT 2025","","Links assertion on the home page","",""
"","110","validate, link contains Shadow DOM Editor","","Sat Jan 11 02:50:34 GMT 2025","passed","Sat Jan 11 02:50:34 GMT 2025","","Links assertion on the home page","",""
"","147","validate, link contains Add/Remove Elements Editor","","Sat Jan 11 02:50:29 GMT 2025","passed","Sat Jan 11 02:50:29 GMT 2025","","Links assertion on the home page","",""
"","117","validate, link contains Forgot Password Editor","","Sat Jan 11 02:50:32 GMT 2025","passed","Sat Jan 11 02:50:32 GMT 2025","","Links assertion on the home page","",""
"","113","validate, link contains Slow Resources Editor","","Sat Jan 11 02:50:34 GMT 2025","passed","Sat Jan 11 02:50:34 GMT 2025","","Links assertion on the home page","",""
"","113","validate, link contains Typos Editor","","Sat Jan 11 02:50:35 GMT 2025","passed","Sat Jan 11 02:50:35 GMT 2025","","Links assertion on the home page","",""
"","115","validate, link contains Notification Messages Editor","","Sat Jan 11 02:50:34 GMT 2025","passed","Sat Jan 11 02:50:34 GMT 2025","","Links assertion on the home page","",""
"","123","validate, link contains Dynamic Loading Editor","","Sat Jan 11 02:50:31 GMT 2025","passed","Sat Jan 11 02:50:31 GMT 2025","","Links assertion on the home page","",""
"","111","validate, link contains Infinite Scroll Editor","","Sat Jan 11 02:50:32 GMT 2025","passed","Sat Jan 11 02:50:33 GMT 2025","","Links assertion on the home page","",""
"","133","validate, link contains JQuery UI Menus Editor","","Sat Jan 11 02:50:33 GMT 2025","passed","Sat Jan 11 02:50:33 GMT 2025","","Links assertion on the home page","",""
"","111","validate, link contains Geolocation Editor","","Sat Jan 11 02:50:32 GMT 2025","passed","Sat Jan 11 02:50:32 GMT 2025","","Links assertion on the home page","",""
