"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","129","validate, link contains Inputs Editor","","Fri Nov 08 02:49:20 GMT 2024","passed","Fri Nov 08 02:49:20 GMT 2024","","Links assertion on the home page","",""
"","133","validate, link contains Sortable Data Tables Editor","","Fri Nov 08 02:49:22 GMT 2024","passed","Fri Nov 08 02:49:22 GMT 2024","","Links assertion on the home page","",""
"","136","validate, link contains Nested Frames Editor","","Fri Nov 08 02:49:21 GMT 2024","passed","Fri Nov 08 02:49:21 GMT 2024","","Links assertion on the home page","",""
"","124","fetch list of users","","Fri Nov 08 02:49:15 GMT 2024","passed","Fri Nov 08 02:49:15 GMT 2024","","API end point assertions","",""
"","124","validate, link contains Challenging DOM Editor","","Fri Nov 08 02:49:17 GMT 2024","passed","Fri Nov 08 02:49:17 GMT 2024","","Links assertion on the home page","",""
"","138","validate, link contains Typos Editor","","Fri Nov 08 02:49:23 GMT 2024","passed","Fri Nov 08 02:49:23 GMT 2024","","Links assertion on the home page","",""
"","135","validate, link contains Multiple Windows Editor","","Fri Nov 08 02:49:21 GMT 2024","passed","Fri Nov 08 02:49:21 GMT 2024","","Links assertion on the home page","",""
"","129","validate, link contains WYSIWYG Editor Editor","","Fri Nov 08 02:49:23 GMT 2024","passed","Fri Nov 08 02:49:23 GMT 2024","","Links assertion on the home page","",""
"","126","validate, link contains Secure File Download Editor","","Fri Nov 08 02:49:22 GMT 2024","passed","Fri Nov 08 02:49:22 GMT 2024","","Links assertion on the home page","",""
"","121","validate, link contains Disappearing Elements Editor","","Fri Nov 08 02:49:18 GMT 2024","passed","Fri Nov 08 02:49:18 GMT 2024","","Links assertion on the home page","",""
"","126","validate, link contains Infinite Scroll Editor","","Fri Nov 08 02:49:20 GMT 2024","passed","Fri Nov 08 02:49:20 GMT 2024","","Links assertion on the home page","",""
"","123","validate, link contains Dynamic Loading Editor","","Fri Nov 08 02:49:18 GMT 2024","passed","Fri Nov 08 02:49:19 GMT 2024","","Links assertion on the home page","",""
"","126","validate, link contains JavaScript Alerts Editor","","Fri Nov 08 02:49:20 GMT 2024","passed","Fri Nov 08 02:49:21 GMT 2024","","Links assertion on the home page","",""
"","136","validate, link contains Frames Editor","","Fri Nov 08 02:49:20 GMT 2024","passed","Fri Nov 08 02:49:20 GMT 2024","","Links assertion on the home page","",""
"","121","validate, link contains Entry Ad Editor","","Fri Nov 08 02:49:19 GMT 2024","passed","Fri Nov 08 02:49:19 GMT 2024","","Links assertion on the home page","",""
"","131","validate, link contains Large & Deep DOM Editor","","Fri Nov 08 02:49:21 GMT 2024","passed","Fri Nov 08 02:49:21 GMT 2024","","Links assertion on the home page","",""
"","117","validate, link contains Dynamic Content Editor","","Fri Nov 08 02:49:18 GMT 2024","passed","Fri Nov 08 02:49:18 GMT 2024","","Links assertion on the home page","",""
"","123","validate, link contains Slow Resources Editor","","Fri Nov 08 02:49:22 GMT 2024","passed","Fri Nov 08 02:49:22 GMT 2024","","Links assertion on the home page","",""
"","127","validate, link contains Hovers Editor","","Fri Nov 08 02:49:20 GMT 2024","passed","Fri Nov 08 02:49:20 GMT 2024","","Links assertion on the home page","",""
